,length,ppl,label
838,24.0,-274.235158,0
839,33.0,-415.666811,0
840,16.0,-193.70766,0
841,23.0,-325.961397,0
842,25.0,-302.414921,0
843,16.0,-200.22156,0
844,10.0,-149.889395,0
845,23.0,-305.073082,0
846,55.0,-736.142608,0
847,23.0,-314.190706,0
848,8.0,-113.45237,0
849,9.0,-102.02294,0
850,19.0,-264.603246,0
851,39.0,-505.737721,0
852,8.0,-119.800908,0
853,3.0,-36.434176,0
854,22.0,-246.330949,0
855,24.0,-300.469947,0
856,20.0,-240.513773,0
857,19.0,-224.679903,0
858,19.0,-245.283637,0
859,6.0,-70.125794,0
860,39.0,-476.156754,0
861,18.0,-210.359333,0
862,44.0,-513.249867,0
863,12.0,-153.335196,0
864,13.0,-181.743966,0
865,20.0,-264.665213,0
866,35.0,-423.209514,0
867,20.0,-260.097614,0
868,29.0,-373.445482,0
869,14.0,-176.793266,0
870,18.0,-204.137967,0
871,14.0,-196.79937,0
872,44.0,-538.103284,0
873,25.0,-322.199167,0
874,19.0,-232.152145,0
875,19.0,-271.401351,0
876,13.0,-175.513083,0
877,21.0,-242.487269,0
878,31.0,-407.174284,0
879,8.0,-93.735462,0
880,58.0,-742.683482,0
881,12.0,-140.528533,0
882,28.0,-333.699372,0
883,7.0,-78.658469,0
884,23.0,-329.458158,0
885,30.0,-387.396017,0
886,18.0,-230.242548,0
887,25.0,-289.216468,0
888,4.0,-59.927628,0
889,12.0,-160.319483,0
890,29.0,-355.758463,0
891,25.0,-321.741967,0
892,29.0,-370.757045,0
893,15.0,-231.174672,0
894,24.0,-339.528183,0
895,23.0,-281.952505,0
896,24.0,-328.867868,0
897,7.0,-85.319044,0
898,27.0,-332.577105,0
899,18.0,-243.463143,0
900,7.0,-98.355576,0
901,21.0,-294.498064,0
902,22.0,-270.401831,0
903,42.0,-488.953154,0
904,34.0,-425.335171,0
905,16.0,-213.720421,0
906,18.0,-230.359833,0
907,28.0,-329.708632,0
908,23.0,-291.984158,0
909,21.0,-262.080698,0
910,16.0,-233.291483,0
911,25.0,-328.405403,0
912,26.0,-349.999893,0
913,26.0,-370.039683,0
914,21.0,-275.338608,0
915,22.0,-303.599964,0
916,44.0,-582.763267,0
917,23.0,-278.631377,0
918,27.0,-358.46945,0
919,23.0,-292.266566,0
920,22.0,-273.780356,0
921,11.0,-164.948794,0
922,25.0,-328.734646,0
923,20.0,-286.672194,0
924,8.0,-101.942152,0
925,19.0,-219.105487,0
926,13.0,-155.26408,0
927,22.0,-264.125911,0
928,4.0,-33.705079,0
929,18.0,-223.476635,0
930,42.0,-483.510758,0
931,42.0,-550.306031,0
932,28.0,-340.36081,0
933,19.0,-271.927148,0
934,9.0,-141.356297,0
935,62.0,-792.551716,0
936,15.0,-185.117553,0
937,55.0,-637.844982,0
938,16.0,-211.062607,0
939,34.0,-503.056651,0
940,12.0,-160.171767,0
941,26.0,-343.374845,0
942,19.0,-251.861786,0
943,18.0,-230.695358,0
944,13.0,-168.776535,0
945,14.0,-203.26981,0
946,27.0,-352.041143,0
947,24.0,-300.316057,0
948,26.0,-330.827485,0
949,28.0,-372.90602,0
950,20.0,-247.572429,0
951,29.0,-368.886524,0
952,8.0,-100.386663,0
953,29.0,-394.871252,0
954,22.0,-277.152048,0
955,28.0,-397.51104,0
956,4.0,-59.936802,0
957,25.0,-328.635358,0
958,39.0,-505.521681,0
959,6.0,-83.50118,0
960,23.0,-318.549363,0
961,24.0,-307.521527,0
962,29.0,-362.218727,0
963,27.0,-319.168133,0
964,22.0,-277.067772,0
965,20.0,-221.126762,0
966,27.0,-349.027726,0
967,19.0,-251.707893,0
968,16.0,-193.866581,0
969,3.0,-51.639088,0
970,38.0,-477.282863,0
971,29.0,-375.545899,0
972,29.0,-356.171349,0
973,22.0,-289.889456,0
974,28.0,-373.190424,0
975,39.0,-491.665762,0
976,37.0,-461.962349,0
977,31.0,-405.524997,0
978,9.0,-108.463317,0
979,21.0,-235.933049,0
980,23.0,-302.739064,0
981,9.0,-101.90929,0
982,24.0,-326.834943,0
983,22.0,-296.606827,0
984,24.0,-293.752795,0
985,26.0,-324.100549,0
986,30.0,-370.737265,0
987,4.0,-53.447698,0
988,16.0,-174.14643,0
989,17.0,-208.771307,0
990,13.0,-155.369193,0
991,8.0,-99.994482,0
992,27.0,-301.940172,0
993,15.0,-186.905915,0
994,19.0,-240.371094,0
995,21.0,-255.454944,0
